Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,10/7/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Armenia,ARM,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.10165485,34.64203233,16.09195402,16.09195402,17.77777778,17.58241758,21.14285714,13.68444444,15.55555556,10.98901099,34.52307692,22.9978022,31.65054945,22.69230769,127.8449989,59.32315859,54.15186501,87.99955496,66.05351171,80.95948353,129.4090098,132.0660419,118.6882682,145.6010745,330.4905914,202.5538117,70.53635548,60.30125899,64.84234234,46.31049569,42.46154541,40.20153986,
American Samoa,ASM,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.75641026,70.30379747,77.1,63.33333333,64.32926829,64.5060241,86.58333333,68.94117647,67.10465116,53.90804598,41.19318182,38.61797753,29.07777778,38.23076923,34.19565217,41.66666667,34.03191489,43.63157895,38.61458333,,,,
Antigua and Barbuda,ATG,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,27.25,7.5,6,4.5,0.5,3.5,13.25,3,3.25,9.75,12.25,8.25,5.5,18.25,5.5,3.25,10.25,8.75,8.5,7.25,0,
Australia,AUS,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,,46.64923143,42.01770334,48.67514689,59.59730781,62.68801181,60.07272278,56.61041814,53.30761403,53.37801239,52.51600621,63.34988432,76.72364639,102.7603189,58.65644878,55.32026818,72.51160862,72.0753217,72.82103998,74.79073538,69.5025863,66.76824317,59.32752147,62.02576757,57.75882055,55.37160712,58.06461285,70.89938776,77.35873401,79.87898671,68.9170795,74.9832636,87.78947368,88.71275788,97.13859777,111.3916375,105.4642318,104.920111,105.7949883,102.7164043,97.31606527,102.188843,95.46829577,93.53498279,94.48304393,83.93220211,85.59819217,89.32765405,78.09511505,60.92794824,77.03853781,68.11521727,69.42182354,72.83573771,79.6105168,79.4678473,89.08680174,89.32498699,85.87011687,84.48997481,102.9381934,120.1252199,106.5695506,102.6886107,
Austria,AUT,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,,148.9088218,172.6264128,196.8623188,209.0959565,218.8433735,134.2221535,260.3475,227.0412242,265.8952681,257.1361917,277.2173913,260.7065491,273.5726552,223.5244386,207.1230973,244.4269737,246.2230216,253.60181,264.5436638,265.1692708,254.8773402,231.7667752,266.6782488,270.1038062,268.288674,217.095205,207.6441974,216.1865569,187.9369431,212.6928471,199.7923875,185.9331476,184.6370684,175.6851722,167.6096181,168.3234043,187.3122333,175.454416,165.9850214,161.1386705,157.3280461,162.3263538,137.4187518,137.5175814,131.7027595,130.2708394,136.037064,167.182615,86.58056491,99.80642323,132.7331568,115.4136226,130.9084866,130.875934,148.7207488,137.7950003,141.0311978,133.149983,118.5088229,137.97128,128.2593303,97.41835675,106.4162188,
Azerbaijan,AZE,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.00117336,31.47219956,22.62705964,22.59167005,9.30076199,13.15789474,8.73072885,7.562058195,2.245836985,6.48254072,10.43378871,7.642099538,11.9747922,13.36046007,13.33894531,10.63754045,20.9375336,13.41141942,9.954885622,15.57458769,19.0763391,19.96260323,31.75188165,50.96609382,44.2146073,36.67366913,60.67972735,73.12070611,73.30950439,22.39253231,24.70816005,43.84424153,
Burundi,BDI,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,,,,,,,0.132802125,0.126903553,0.125,0.256048387,0.590425532,0.848223897,0.899553571,0.624731183,1.021505376,0.803225806,0.567914439,0.805732484,1.187165775,0.967741935,1.182795699,1.182795699,1.397849462,2.975268817,1.94516129,2.506451613,3.333333333,2.795698925,2.795698925,5.053763441,2.258064516,2.258064516,5.592473118,4.133333333,3.333333333,3.191489362,2.978723404,1.052631579,3.805263158,4.135416667,3.645833333,3.58974359,1.343813387,0.304040404,1.111675127,3.546025105,3.204472843,1.821656051,2.067724868,1.864978903,3.627368421,5.635,6.208373905,10.59013283,12.00647549,9.027978339,15.24140969,18.33218589,24.00084104,19.92105263,19.48833467,19.07401575,39.78945635,38.95529451,
Belgium,BEL,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,326.2223558,339.4215569,337.2809524,332.3973903,325.8693587,335.0882002,224.4881517,282.0142857,324.9460432,317.8060606,328.5516812,321.3615196,304.0305998,305.4779988,275.0541559,269.7356459,266.7611765,265.8832642,257.6436916,252.7540317,198.2734063,191.6622951,
Benin,BEN,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,,0.642391304,0.635106383,0.442708333,0.826530612,1.1,0.72815534,2.331775701,2.714545455,3.847457627,4.75,4.24,4.6453125,3.366153846,3.444360902,1.762043796,1.428571429,0.769230769,1.324137931,0.904761905,0.574666667,1.807843137,2,3.461538462,4.688535032,7.274683544,6.804402516,5.918125,4.294409938,2.037037037,6.813003096,7.294444444,9.401840491,10.44727273,10.03235294,20.11173184,15.73384615,18.55619048,16.75866667,24.65217391,14.78991597,12.69387755,16.36666667,0.802264151,0.054716981,0.461944235,0.0132,0.2456,0.3204,6.544,9.134,4.44,10.29038462,5.001851852,8.086296296,0.133333333,9.949642857,0.015366233,30.03729286,43.89450892,33.79893713,32.68706474,36.87528453,33.171343,
Burkina Faso,BFA,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,,0.009666667,0.036666667,0.025666667,0.032333333,0.033333333,0.033333333,0.033333333,0.066666667,0.152,0.190666667,0.294666667,0.367333333,0.201,0.4,0.4,1.6,2.288333333,3.291333333,2.403333333,1.436,3.284,3.476333333,4.425666667,3.664946004,3.732246381,4.837910172,5.095734994,4.164333248,5.485510999,5.454011405,5.16292464,5.163008515,4.931539894,5.166583248,5.389841435,5.197596909,8.941692132,10.27773706,8.656993693,6.600938009,0.317382016,0.372858906,9.606625055,10.22376844,12.94911534,10.68865294,8.221854352,9.308365667,8.590481741,8.842779489,9.351775297,12.24243839,14.14881345,13.80792983,13.90791329,18.2653227,14.98220111,14.23987712,7.60289264,13.46534308,9.337204469,13.25873863,17.7724917,
